guid,title,price,price_label,km,first_registration,year_raw,fuel_code,fuel,gear,power_raw,power_kw,power_hp,condition,seller_type_raw,seller_type,leads_range,zip_code,is_sport,body_type,make,model,seller_name,location,url,scraped_at,year,lat,lon,place_name
10d6ad2e-8dfc-4ae4-ad34-d10d326097dc,Toyota Corolla TOYOTA COROLLA Corolla 122h Dynamic,18900,good-price,57000,09-2021,09/2021,2,Electrique/Essence,,81 kW (110 Ch),81.0,110.0,Nouveau,d,Professionnel,many,1730,False,Berline / 5 portes (non détecté comme break),toyota,corolla,MDV CARS,BE-1730 Asse,,2026-08-25T01:23:22.426605,2021,50.9312,4.2263,Mollem
ca343720-48d3-41ed-995a-8468c864b9f3,Toyota Corolla Dynamic,19390,top-price,38540,03-2021,03/2021,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,7033,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Mons,BE-7033 Mons,,2026-08-25T01:23:22.504646,2021,50.4362,3.9232,Cuesmes
d99260ec-546f-4fc1-b521-da9904e9663b,Toyota Corolla Hybrid 1.8 GR LED GPS CARPLAY CAMERA CUIR SIEGES CHAUFF.,23990,fair-price,74984,04-2022,04/2022,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,4000,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Mon Occasion,BE-4000 Liège,,2026-08-25T01:23:22.577317,2022,50.6758,5.5462,Rocourt
7484913c-874e-4476-9b99-f163dabf8948,Toyota Corolla 122hp HEV TS Premium | park assist,22990,good-price,80455,11-2022,11/2022,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,1200,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota City Approved Used Woluwe,BE-1200 Woluwe-Saint-Lambert,,2026-08-25T01:23:22.644206,2022,50.8439,4.4291,Woluwe-Saint-Lambert
efab2368-c1f9-447c-a6e6-ebcf2d0ccb90,Toyota Corolla Dynamic,19450,fair-price,89850,02-2020,02/2020,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,3020,False,Berline / 5 portes (non détecté comme break),toyota,corolla,De Bruyn Leuven,BE-3020 Herent,,2026-08-25T01:23:22.712934,2020,50.9081,4.6191,Veltem-Beisem
6ef51d32-4078-4cd8-b745-f551c99549a0,Toyota Corolla Camera Half Leder Zetelverwarming Toyota Onderhouden,23200,top-price,36000,01-2023,01/2023,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,9340,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Autohandel Batena,BE-9340 Lede,,2026-08-25T01:23:22.780742,2023,50.9742,3.9564,Wanzele
fdf7262a-a497-485f-9f5c-2a043d78cb0f,Toyota Corolla Corolla Touring + Hybrid + NAVI / CAM / LED + Garantie,19999,fair-price,93915,04-2021,04/2021,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,1070,False,Break / Touring (détecté),toyota,corolla,Dewilde Motor & Co,BE-1070 Anderlecht,,2026-08-25T01:23:22.839488,2021,50.8362,4.3145,Anderlecht
cc9afb8c-3bbe-4edc-8aeb-466e23ead3a3,Toyota Corolla SW Hybrid 1.8 GR Sport GPF e-CVT* CarPlay*,22990,somewhat-expensive,99950,02-2023,02/2023,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,1600,True,Break / Touring (détecté),toyota,corolla,Tony Car sprl,BE-1600 Sint-Pieters-Leeuw,,2026-08-25T01:23:22.899821,2023,50.7793,4.2435,Sint-Pieters-Leeuw
f743515a-714b-4527-8031-1bb08db370d6,Toyota Corolla 196hp HEV TS Premium | carplay | camera,29490,good-price,55145,02-2024,02/2024,2,Electrique/Essence,,112 kW (152 Ch),112.0,152.0,,d,Professionnel,some,1200,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota City Approved Used Woluwe,BE-1200 Woluwe-Saint-Lambert,,2026-08-25T01:23:22.959962,2024,50.8439,4.4291,Woluwe-Saint-Lambert
66388b34-2252-4ac8-ad07-125b157d9fe8,Toyota Corolla Corolla TS Hybrid 1.8 e-CVT Style Incl. 10 Ans de Garantie,29990,top-price,15,04-2026,04/2026,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,5100,False,"Break / Touring (probable, 'TS')",toyota,corolla,click2move by Declerc,BE-5100 Naninne (Namur),,2026-08-25T01:23:23.017781,2026,50.4215,4.864,Wépion
